	ko1	ko2	ko3	wt1	wt2	wt3
1416660_at	9.33	9.35	10.65	10.96	10.69	9.16
1422075_at	2.86	2.92	3.78	4.56	4.58	2.81
1439154_at	7.08	7.01	8.21	8.86	8.68	7.17
1457741_at	2.75	2.78	3.9	4.6	4.24	2.7
1455205_a_at	7.59	7.7	9	9.35	9.16	7.57
1451253_at	5.24	5.46	6.82	7.49	7.4	5.71
1459432_at	2.95	2.8	4.21	4.76	4.67	3
1430579_at	3.76	3.82	4.87	5.59	5.53	3.73
1452004_at	2.9	2.94	4.23	4.58	4.63	2.96
1453407_at	2.86	2.89	4.4	4.61	4.83	3.11
1458459_a_at	4.46	4.59	5.52	6.05	5.8	4.29
1435639_at	2.76	2.67	3.86	4.46	4.4	2.57
1434830_at	6.85	6.6	7.72	8.88	9.1	7.14
1448339_at	9.34	9.17	10.43	11.21	11.4	9.42
1429500_at	2.51	2.55	3.94	4.4	4.43	2.52
1454457_at	3.88	3.79	5.11	5.5	5.52	3.67
1416028_a_at	10.13	10.07	11.32	11.78	11.71	10.04
1439837_at	3.18	2.96	4.36	5.14	4.91	3.36
1430721_at	2.63	2.62	3.79	4.47	4.39	2.59
1436056_at	5.52	5.71	6.98	7.41	7.31	5.56
1426372_a_at	6.87	6.84	8.2	8.61	8.57	6.82
1452005_at	5.27	5.36	6.42	6.74	7.03	5.35
1432154_at	2.28	2.51	3.72	4.36	4.11	2.63
1417680_at	2.81	2.81	3.94	4.53	4.36	2.6
1440852_at	4.63	4.99	5.93	6.15	5.34	4.76
1440397_at	2.58	2.38	3.49	3.94	4.15	2.23
1419529_at	4.78	4.78	6.12	6.37	6.41	4.77
1419925_s_at	7.98	7.85	8.92	9.5	9.48	7.71
1426117_a_at	5.79	5.96	7.01	7.65	7.49	5.68
1442320_at	4.43	4.6	5.78	6.22	6.08	4.18
1441614_at	2.91	3.19	4.03	4.74	4.71	2.98
1424296_at	7.1	7.42	8.71	8.52	8.65	6.82
1447674_at	3.11	2.86	4.19	4.85	4.77	2.98
1429256_at	3.37	3.33	4.5	5.01	5.06	3.19
1426384_a_at	10.19	10.32	11.4	11.94	12	10.2
1440925_at	4.11	3.87	5.27	5.55	5.68	3.74
1455276_x_at	4.41	4.51	5.7	6.28	6.27	4.52
1451877_at	2.86	2.77	4.01	4.55	4.38	2.66
1457465_at	2.78	2.87	4.19	4.53	4.56	2.87
1417244_a_at	6.4	5.66	6.67	8.44	7.47	6.41
1428510_at	4.73	5.2	6.62	6.75	6.57	4.67
1431003_a_at	7.31	7.32	8.53	9.13	9.09	7.36
1429451_at	5.67	5.51	6.72	7.39	7.21	5.61
1430172_a_at	4.95	4.06	5.67	6.82	6.2	4.31
1460570_at	2.53	2.63	3.89	4.4	4.38	2.92
1418679_at	6.05	6.88	7.95	8.93	10.31	7.79
1431762_at	4.27	4.09	5.6	6.01	6.07	4.1
1443480_at	4.37	4.09	5.5	6.14	6.16	4.36
1418873_at	3.32	3.47	4.61	5.29	4.92	3.33
1446999_at	2.92	2.62	3.98	4.65	4.42	2.78
1426620_at	4.46	4.72	5.66	6.47	6.71	4.66
1421347_at	2.88	2.94	4.2	4.63	4.8	2.89
1417684_at	8.25	8.26	9.44	10.21	10.06	8.52
1452606_at	5.63	5.81	7.05	7.92	7.19	5.92
1455636_at	2.81	2.8	3.93	4.46	4.58	2.76
1427517_at	2.57	2.5	3.75	4.39	4.33	2.44
1438883_at	2.27	2.2	3.4	4.15	4.15	2.27
1459151_x_at	7.92	7.98	9.11	10	9.38	8.12
1423209_at	3.65	3.66	5.03	5.48	5.28	3.5
1438970_x_at	2.18	2.15	3.49	4.09	3.95	2.25
1429097_at	3.46	3.66	4.66	5.26	5.37	3.52
1439064_at	3.96	4.12	5.36	5.83	5.75	4.11
1418632_at	5.74	5.82	6.54	7.37	7.51	5.59
1436803_a_at	10.16	10.18	11.48	11.88	11.84	10.15
1434103_at	7.11	7.27	8.43	8.98	9.01	7.32
1423476_at	2.75	2.89	4.11	4.52	4.48	2.71
1459498_at	2.77	2.54	3.85	4.39	4.52	2.66
1431387_at	2.49	2.49	3.73	4.13	3.98	2.38
1444505_at	3.95	3.98	5.17	5.72	5.71	4.08
1437484_at	5.29	5.23	6.48	7.28	6.91	5.3
1456566_x_at	8.42	8.54	9.85	10.32	10.2	8.47
1442943_at	3.54	3.57	4.9	5.17	5.35	3.61
1431888_s_at	2.75	2.9	3.69	4.2	4.31	2.61
1445429_at	3.01	3.07	4.42	4.82	4.8	3.15
1419728_at	2.32	2.54	3.78	4.09	3.95	2.35
1449639_at	3.79	3.83	4.88	5.41	5.51	3.7
1458240_at	2.46	2.48	3.5	4.05	4.07	2.44
1459545_at	4.03	3.8	5.12	5.6	5.59	4.01
1438867_at	3.83	3.77	4.66	5.41	5.36	3.62
1458496_at	3.16	2.84	4.15	4.51	4.49	2.94
1421945_a_at	7.72	7.91	9.07	9.32	9.1	7.63
1449901_a_at	4.11	4.01	5.02	5.72	5.7	4
1459074_at	3.14	3	4.15	4.72	4.64	2.86
1431637_at	2.84	2.97	4.12	4.73	4.78	3.04
1436254_at	3.94	4.37	5.2	5.79	5.89	3.95
1446769_at	4.15	4.25	5.21	6.67	6.23	4.55
1423029_at	3.18	3.22	4.79	5.1	4.79	3.27
1447749_at	2.77	2.92	4.11	4.6	4.58	2.97
1452014_a_at	3.91	3.89	5.2	5.56	5.64	3.79
1448621_a_at	6.58	6.76	7.87	8.63	8.65	6.75
1425196_a_at	6.36	6.34	7.59	8.09	8.04	6.35
1450224_at	2.97	2.76	4.36	4.95	4.67	2.88
1436128_at	3.59	3.48	4.92	5.32	5.29	3.38
1454628_at	4.54	4.61	6.13	6.54	6.56	4.84
1449838_at	2.12	2.12	3.44	3.93	3.91	2.13
1426420_at	3.56	3.5	4.78	5.55	5.34	3.71
1431939_a_at	7.61	7.91	8.98	9.31	9.12	7.36
1452438_s_at	5.82	6.32	7.7	8.02	8.06	6.25
1459477_at	2.59	2.7	3.93	4.32	4.33	2.6
1426574_a_at	7.44	7.11	8.49	8.9	9.02	7.22
1423515_at	2.4	2.4	3.66	4.17	4.11	2.37
1422838_at	2.55	2.62	3.78	4.34	4.66	2.53
1444420_at	3.18	3.41	4.26	5.08	5.35	3.2
1451062_a_at	3.53	3.71	4.67	5.21	5.2	3.55
1450398_at	5.53	5.31	7.16	7.02	6.99	5.32
1447453_x_at	2.58	2.5	3.66	4.27	4.19	2.46
1434384_at	5.95	5.79	7.24	8.34	8.31	6.45
1422652_at	2.5	2.56	3.71	4.54	4.21	2.33
1450621_a_at	3.01	2.96	4.02	4.63	4.57	2.73
1432965_at	3.27	3.11	4.43	5.14	4.95	3.17
1420832_at	4.95	4.79	6.2	6.72	6.78	4.81
1454872_at	7.85	8.09	9.16	9.7	9.72	7.87
1420724_at	3.23	3.08	4.53	4.89	4.84	3.07
1422817_at	3.91	4.02	5.14	6.01	5.89	4.09
1446580_at	3.23	3.19	4.46	5.03	4.78	3.1
1451334_at	6.82	7.02	8.18	8.78	8.73	6.91
1416486_at	9.49	9.55	10.81	11.29	11.15	9.42
1450643_s_at	5.96	6.04	6.97	7.01	6.93	5.49
1416621_at	7.58	7.61	8.76	9.4	9.34	7.58
1429604_at	2.75	2.78	3.99	4.58	4.48	2.71
1447407_at	3.1	3.13	4.25	4.88	4.61	2.95
1440748_at	3.04	3.02	4.02	4.75	4.77	2.91
1424621_at	6.96	6.82	8.02	8.84	8.63	7.07
1438768_at	3.35	3.36	4.58	5.1	5.26	3.41
1437537_at	4.37	4.42	5.51	6.05	5.96	4.23
1451106_at	7.33	7.44	8.65	8.97	8.93	7.21
1457627_x_at	2.72	2.69	4.03	4.56	4.45	2.68
1455671_at	5.56	5.72	6.9	7.39	7.07	5.6
1418442_at	9.21	9.23	10.49	11	10.97	9.21
1439192_at	3.1	3.27	4.46	4.96	4.88	3.09
1416793_at	7.76	7.91	9.01	9.48	9.3	7.65
1436414_at	4.42	4.53	5.8	6.25	6.13	4.6
1419246_s_at	8.99	9.05	10.37	10.83	10.73	9.06
1427660_x_at	6.01	6.33	8.14	10.18	9.65	6.53
1452049_at	8.14	8.23	9.67	10.12	10.09	8.38
1434187_at	5.7	5.77	6.47	7.23	7.07	5.37
1456327_at	2.67	2.82	3.97	4.47	4.41	2.71
1440299_at	6.78	6.91	7.93	8.63	8.41	6.95
1450540_x_at	5.1	4.86	6.13	6.83	6.89	4.94
1450672_a_at	8.87	8.6	10.02	10.33	9.98	8.64
1454306_at	4.4	4.6	5.64	6.2	6.17	4.42
1417964_at	8.31	8.48	9.68	9.75	9.77	8.01
1442433_at	2.43	2.4	3.65	4.19	4.09	2.48
1442547_at	2.68	2.71	3.82	4.53	4.41	2.5
1445536_at	3.68	3.38	4.69	5.31	5.32	3.43
1450805_at	2.44	2.57	4.04	4.39	4.3	2.42
1434324_x_at	2.29	2.34	3.54	4.22	4.06	2.36
1447675_x_at	2.21	2.24	3.4	4.02	4.02	1.98
1435653_at	7.05	6.81	8.51	8.9	8.85	7.36
1460502_at	2.76	3.07	4.05	4.61	4.79	3.1
1424730_a_at	3.48	3.32	4.46	5.22	5.27	3.43
1428469_a_at	2.8	2.5	4.01	4.61	4.5	2.47
1434393_at	7.15	7.03	8.34	8.8	8.67	7.05
1448342_at	2.68	2.99	4.23	4.41	4.57	2.86
1416328_a_at	10.14	10.18	11.29	11.95	11.78	10.18
1433866_x_at	10.37	10.25	11.36	12.27	12.22	10.34
1433562_s_at	10.89	10.88	12.1	12.9	12.91	11.08
1433372_at	2.85	2.72	3.95	4.72	4.59	2.74
1450520_at	3.55	3.43	4.46	5.2	5.01	3.27
1451536_at	6.65	6.95	8.19	8.9	8.91	7.21
1459142_at	2.47	2.64	3.83	4.25	4.19	2.58
1427985_at	4.73	4.82	6.75	7.1	6.93	5.74
1446924_at	3.11	2.87	4.36	4.62	4.49	2.97
1427066_a_at	5.76	5.87	7.08	7.56	7.57	5.83
1441825_x_at	4.2	4.47	5.36	6.19	6.25	4.14
1456988_at	3.1	2.97	4.15	4.79	4.64	3.15
1450325_at	3.57	3.52	4.64	5.21	5.11	3.6
1426139_a_at	3.7	3.64	4.76	5.38	5.4	3.51
1419518_at	4.6	4.58	5.8	6.37	6.33	4.49
1436842_at	7.26	7.18	8.29	8.57	9.3	7.19
1459672_at	2.45	2.58	3.64	4.32	4.19	2.61
1438267_x_at	9.76	9.77	11.07	11.54	11.51	9.79
1435236_at	4.74	4.77	5.84	6.2	6.04	4.32
1439408_a_at	2.41	2.61	3.74	4.4	4.34	2.64
1423417_at	6.94	6.73	8.28	8.75	8.69	6.96
1441193_at	2.56	2.71	3.61	4.14	4.19	2.56
1442662_at	3.03	2.92	4.07	4.72	4.76	3.06
1425494_s_at	4.84	4.81	6.13	6.36	6.6	4.63
1454786_at	5.86	5.87	7.4	7.65	7.54	5.73
1433378_at	2.25	2.4	3.68	4.02	3.96	2.24
1458204_at	5.51	5.54	6.7	7.26	7.09	5.42
1420664_s_at	6.54	6.39	7.85	8.65	8.64	7.15
1421698_a_at	2.51	2.43	3.54	4.05	3.94	2.2
1453874_at	2.78	2.67	4.13	4.43	4.62	2.73
1421554_at	3.03	2.82	4.17	4.63	4.69	2.84
1449079_s_at	3.76	3.42	4.79	5.32	5.49	3.42
1451655_at	5.85	5.59	6.94	8.1	7.33	5.79
1453811_at	4.7	4.59	5.98	6.51	6.35	4.57
1458193_at	3.52	3.44	4.73	5.26	5.19	3.37
1443205_at	2.47	2.57	3.95	4.4	4.21	2.46
1450710_at	8.13	8.15	9.14	9.42	9.28	7.45
1444404_at	3.97	4.07	5.28	5.92	6.04	4.09
1421493_a_at	2.75	2.7	4.07	4.51	4.46	2.65
1427740_a_at	2.36	2.37	3.6	4.26	4.07	2.3
1459583_at	3.48	3.45	4.66	5.07	5.25	3.09
1455804_x_at	4.98	5.11	6.28	7.02	7.06	5.19
1450879_at	7.78	7.73	8.95	9.19	9.16	7.55
1425767_a_at	3.12	3.08	4.58	5.07	5.05	3.23
1435806_at	5.9	6.01	7.31	7.78	7.58	5.95
1450084_s_at	9.01	9.09	10.26	10.85	10.75	8.9
1431215_at	2.3	2.38	3.58	4.14	4.08	2.26
1458012_at	2.99	2.83	4.12	4.71	4.76	2.9
1450688_at	6.42	6.58	7.75	8.17	8.23	6.29
1446509_at	4.19	2.91	4.46	5.64	5.5	3.65
1451901_at	2.61	2.7	4.17	4.48	4.43	2.65
1447436_at	2.72	2.73	3.95	4.59	4.44	2.71
1441179_at	3	3.1	4.2	4.78	4.63	2.94
1448090_at	2.84	2.91	4.12	4.47	4.37	2.58
1426690_a_at	8.47	8.62	9.7	10.33	10.41	8.47
1455735_at	6.46	6.45	7.67	8.24	8.3	6.77
1438968_x_at	6.72	6.73	8.05	8.5	8.43	6.92
1426408_at	7.41	7.71	8.86	9.28	9.26	7.49
1430314_at	3.91	4.03	5.13	5.79	5.68	4.07
1454512_at	3.92	3.54	4.82	5.31	5.27	3.53
1431626_at	2.94	3.09	4.02	4.78	4.62	2.92
1421774_at	3.83	3.94	5.23	5.73	5.72	4.04
1422545_at	2.55	2.5	3.56	4.22	4.36	2.46
1422893_at	5.91	5.63	7.18	7.49	7.18	5.6
1455329_at	3.36	3.4	4.66	5.15	5.09	3.15
1459096_at	2.56	2.57	3.64	4.32	4.27	2.46
1453861_at	2.76	2.62	3.84	4.43	4.4	2.7
1449885_at	2.47	2.33	3.46	4.05	4.01	2.35
1454426_at	2.92	3.28	4.21	4.65	4.81	3.15
1453358_s_at	5.3	5.16	6.28	7.28	6.98	5.18
1437281_x_at	7.02	7.03	8.16	8.66	8.69	6.84
1442087_at	5.56	5.33	6.9	7.05	7.18	5.29
1455145_at	3.03	3.45	4.28	4.96	4.73	3.08
1436593_at	2.68	2.83	3.78	4.39	4.51	2.6
1423133_at	9.92	9.9	11.1	11.77	11.65	9.93
1451657_a_at	5.75	5.69	6.8	7.16	6.99	5.55
1426158_at	7.92	7.67	9.29	9.53	9.57	7.79
1422007_at	4.06	4.06	5.18	5.9	5.72	4.05
1441349_at	3.51	3.38	4.66	4.98	4.94	3.2
1420796_at	2.84	2.7	4.04	4.32	4.51	2.68
1452515_a_at	3.7	3.83	5.36	5.6	5.68	3.71
1447003_at	3.18	3.12	4.31	4.94	4.89	3.1
1460547_a_at	10.6	10.63	11.81	12.67	12.53	10.82
1453200_at	7.02	7.15	8.41	8.75	8.61	6.83
1416829_at	11.71	11.82	13.07	13.55	13.49	11.76
1453752_at	7.38	7.52	9.07	10.2	9.26	8
1456695_x_at	10.97	11.01	12.2	12.66	12.66	10.86
1446408_at	2.69	2.55	3.94	4.47	4.51	2.73
1428043_a_at	4.25	3.68	5.13	5.84	5.91	4.25
1431695_at	3.46	3.43	4.51	5.09	5.15	3.47
1454267_a_at	3.15	2.95	4.34	5	4.95	2.95
1416001_a_at	8.03	7.83	9.29	9.97	9.98	8.11
1437650_at	6.08	6.19	7.37	7.63	7.82	5.98
1429399_at	7.62	7.63	8.57	9.5	9.62	7.73
1438560_x_at	10.1	10.09	11.26	11.87	11.79	10.13
1459421_at	2.98	2.82	4.15	4.78	4.71	3.11
1434827_at	7.63	7.57	8.68	9.19	9.09	7.38
1452384_at	3.24	3.27	4.44	5.04	4.95	3.18
1440819_s_at	6.18	6.41	7.47	8.05	7.86	6.13
1417389_at	5.01	5.26	6.63	6.72	7.05	4.75
1440385_at	3.17	3.21	4.25	4.79	4.79	3.16
1450151_at	3.16	2.89	4.23	4.87	4.66	2.86
1441669_at	2.83	2.76	4.08	4.45	4.59	2.78
1443347_at	2.36	2.49	4	4.33	4.11	2.53
1415682_at	7.58	7.78	8.99	9.22	9.15	7.59
1432547_at	2.88	2.73	3.79	4.48	4.61	2.76
1456677_at	2.85	2.66	3.96	4.67	4.72	2.75
1449023_a_at	6.47	6.84	7.96	8.55	8.5	6.81
1458206_at	3.89	3.9	5.1	5.61	5.66	3.79
1444120_at	3.52	3.25	4.54	5.26	5.18	3.6
1423861_at	4.07	4.14	5.42	5.95	5.85	4.04
1425724_at	3.8	4.18	4.94	5.75	5.63	3.9
1431550_at	2.95	2.92	4.11	4.78	4.91	2.96
1437018_at	3.03	2.86	4.07	4.84	4.51	3.02
1438358_x_at	2.31	2.22	3.36	4.04	4.01	2.36
1429943_at	2.4	2.52	3.45	4.32	4.31	2.66
1448311_at	8.06	8.04	9.32	9.88	9.81	7.88
1424971_at	7.46	7.52	8.76	9.27	9.12	7.46
1448498_at	7.36	7.6	9.01	9.16	9.43	7.56
1444947_at	3.64	3.72	5.08	5.44	5.47	3.77
1459931_a_at	3.98	3.93	5.36	5.8	5.68	3.97
1429379_at	2.01	2.18	3.26	3.86	3.93	2.25
1439889_at	3.24	3.41	4.51	5.31	5.44	3.57
1452058_a_at	7.38	7.29	8.76	9.13	8.92	7.41
1437751_at	2.58	2.68	3.89	4.48	4.53	2.67
1435828_at	3.24	3	4.8	5.22	5	3.36
1450494_x_at	3.02	2.82	3.98	4.56	4.65	2.61
1454428_at	2.98	3.2	4.47	4.85	4.88	3.08
1443775_x_at	3.03	2.7	4.51	4.78	4.95	2.99
1432505_at	2.52	2.79	3.87	4.5	4.44	2.69
1456645_at	3.89	4.27	5.1	5.73	5.69	3.98
1424577_at	7.2	7.31	8.49	9.1	9.01	7.33
1427551_at	3.14	3.08	4.45	5.04	4.83	3.11
1457661_at	2.33	2.25	3.53	4.09	4.12	2.29
1451066_at	7.97	8.08	9.48	9.56	9.67	7.82
1443325_at	5.58	5.44	6.71	7	7.08	5.08
1422085_at	3.66	3.64	4.9	5.73	5.62	3.86
1436661_at	3.22	3.15	4.44	4.92	5.02	3.19
1442637_at	4.42	4.22	5.55	6.18	6.07	4.21
1422949_at	3.59	3.84	4.92	5.38	5.42	3.65
1432150_at	2.13	2.3	3.23	3.89	3.87	2.21
1416622_at	5.8	5.81	7.16	7.6	7.46	5.66
1425627_x_at	3.2	3.14	4.49	5.09	4.75	3.12
1434779_at	2.71	2.72	3.83	4.46	4.57	2.74
1440660_at	3.21	3.3	4.45	5.01	4.84	3.09
1454490_at	2.69	2.56	4	4.7	4.3	2.63
1457638_x_at	4.38	4.16	5.4	6.16	6.02	4.33
1457380_at	2.7	2.76	3.95	4.32	4.31	2.56
1423680_at	6.47	6.81	7.46	8.21	8.12	6.39
1435509_x_at	11.04	11.11	12.35	13	12.87	11.16
1451644_a_at	6.99	6.93	8.32	9.61	9.45	7.21
1440704_at	2.98	2.96	4.17	4.63	4.69	2.91
1429799_at	3.07	3.28	4.23	4.9	4.78	2.98
1418415_at	2.72	2.61	3.71	4.38	4.38	2.57
1458163_at	3.57	3.3	4.49	5.47	5.33	3.38
1451878_a_at	2.67	2.67	3.85	4.42	4.39	2.53
1459196_at	2.34	2.42	3.63	4.13	4.29	2.27
1456450_at	4.08	3.91	5.13	5.79	5.67	3.87
1438227_at	2.61	2.19	3.64	4.25	4.13	2.49
1455714_at	5.26	5.19	6.35	7.07	7.1	5.24
1441835_x_at	2.8	2.62	3.87	4.48	4.43	2.62
1436860_at	5.37	5.09	6.3	7.23	7.19	5.64
1459240_at	4	3.86	5.21	5.6	5.56	3.95
1443097_at	2.47	2.35	3.91	4.28	4.3	2.67
1453043_at	2.95	2.78	4.04	4.51	4.57	2.81
1446344_at	2.9	2.89	4.31	4.83	4.7	3.02
1418342_at	8.22	8.33	9.6	9.94	9.81	8.22
1459691_at	2.75	2.88	4.06	4.54	4.46	2.47
1444119_at	3.6	3.61	4.94	5.38	5.37	3.69
1444419_at	2.98	2.94	4.51	4.85	4.59	2.82
1419608_a_at	3.29	3.26	4.6	5.1	5.04	3.43
1451359_at	6.88	6.96	8.23	8.11	8	6.53
1454004_at	3.06	2.91	4.36	4.79	4.83	3.04
1459017_at	2.27	2.37	3.51	4.07	4.36	2.23
1436941_at	8.33	8.2	9.39	10.09	10.07	8.32
1459321_at	2.99	2.95	4.07	4.81	4.53	2.77
1415898_at	2.65	2.96	3.78	4.27	4.29	2.61
1422912_at	2.98	2.84	4.22	4.66	4.7	2.88
1442984_at	2.53	2.61	3.8	4.4	4.34	2.6
1456848_at	2.77	2.84	4.12	4.65	4.52	2.74
1420492_s_at	2.46	2.3	3.76	4.28	4.23	2.42
1436097_x_at	8.01	8.08	9.3	9.95	9.99	8.04
1442883_s_at	7.64	7.84	9.26	9.41	9.6	7.71
1426832_at	6.53	6.52	7.78	8.16	8.01	6.25
1435798_a_at	6.53	6.47	8.01	8.69	8.46	6.6
1433738_at	7.89	8.02	9.22	9.7	9.8	8.15
1441642_at	2.49	2.5	3.78	4.34	4.09	2.52
1459206_at	2.69	2.82	3.71	4.35	4.44	2.72
1444191_at	3.96	4.07	5.04	5.69	5.89	3.92
1438676_at	7.63	7.02	8.3	9.59	9.23	7.82
1444154_at	3.44	3.27	4.48	5.31	5.29	3.37
1451225_at	8.42	8.58	9.86	10.13	9.92	8.36
1444911_at	3.2	3.46	4.45	5.1	5.08	3.34
1439105_at	3.55	3.79	4.83	5.41	5.28	3.67
1439202_at	3.98	3.99	5.31	5.84	5.85	3.93
1455657_at	6.24	6.34	7.55	7.87	7.97	5.95
1454201_a_at	4.99	4.9	6.09	6.83	6.88	4.83
1460596_at	5.35	5.29	6.56	7.15	7.09	5.33
1425816_at	3.03	2.82	3.76	4.64	4.69	2.87
1455834_x_at	6.54	6.46	7.71	8.22	8.21	6.46
1450092_at	5.85	6.15	7.63	7.83	7.67	5.88
1456882_at	2.97	3.02	4.22	4.75	4.91	3.01
1423429_at	3.52	3.32	4.55	5.21	5.06	3.23
1420667_at	3.21	3.14	4.54	4.89	4.99	3.13
1447866_x_at	2.13	2.28	3.44	3.99	3.8	2.27
1429894_a_at	2.72	2.69	4.18	4.57	4.63	2.74
1444706_at	2.85	2.98	3.98	4.49	4.82	2.71
1440828_x_at	2.4	2.44	3.92	4.25	4.29	2.4
1419401_at	2.66	2.76	3.69	5.24	4.45	2.9
1417808_at	3	2.94	4.25	4.77	4.7	2.97
AFFX-BioDn-3_at	10.24	10.24	11.44	11.84	11.71	9.94
1432620_at	3.88	4.02	5.07	5.36	5.48	3.96
1430400_at	2.17	2.46	3.52	3.93	3.95	2.13
1424123_at	2.97	2.98	4.23	4.75	4.72	3.04
1450791_at	3.36	3.37	4.46	5.23	4.97	3.33
1457512_at	3.21	3.63	4.24	4.97	5.03	3.29
1436059_at	6.06	6.47	7.6	8.08	8.12	6.29
1438220_at	5.69	5.73	6.93	7.25	7.34	5.7
1424811_at	2.56	2.63	3.74	4.2	4.23	2.42
1433794_at	8.96	8.95	10.31	10.72	10.73	8.95
1426226_at	6.17	6.02	7.33	8.22	7.94	6.12
1445876_at	2.55	2.65	4.01	4.52	4.24	2.77
1458304_at	2.86	2.8	4.03	4.49	4.45	2.69
1447287_at	3.27	3.34	4.16	4.81	4.67	3.06
1429960_at	3.74	3.57	5.06	5.12	5.04	3.66
1457403_at	2.34	2.51	3.45	3.95	3.92	2.27
1455687_at	2.89	2.79	4.01	4.87	4.53	2.87
1458157_at	2.51	2.61	3.83	4.26	4.29	2.49
1419573_a_at	12.96	12.94	14.21	14.74	14.74	12.94
1433438_x_at	3.17	2.76	4.04	4.65	4.62	2.87
1432644_at	3.2	3.35	3.96	4.71	4.88	3.04
1441718_at	3.21	3.28	4.36	5.5	5.36	3.33
1444335_at	2.72	2.82	3.9	4.57	4.57	2.74
1450236_at	3.54	3.69	4.9	5.35	5.12	3.63
1448369_at	8.5	8.64	9.79	10.18	10.16	8.36
1431241_at	4.22	4.82	6.29	6.87	6.59	5.16
1437784_at	2.58	2.57	3.68	4.23	4.24	2.6
1460550_at	3.84	3.83	4.75	5.22	5.5	3.73
1418914_s_at	2.35	2.06	3.45	4.03	3.86	2.32
1422343_at	2.61	2.63	3.66	4.34	4.35	2.36
1420734_at	5.34	5.23	6.84	7.49	7.39	5.5
1446269_at	2.47	2.53	3.6	4.28	4.39	2.59
1450371_at	3.31	3.29	4.59	5.09	4.84	2.99
1456562_x_at	4.35	4.44	5.84	6.04	6.23	4.38
1455747_at	2.66	2.7	3.87	4.34	4.3	2.51
1459834_x_at	2.93	2.97	4.03	4.46	4.52	2.6
1423531_a_at	9.51	9.41	10.6	11.93	11.5	9.59
1422544_at	8.48	8.48	9.58	9.73	9.69	8.08
1457938_at	3.88	3.97	5.01	5.61	5.62	3.73
1416726_s_at	10.75	10.71	11.99	12.52	12.47	10.47
1457442_at	2.57	2.73	4	4.27	4.19	2.64
1439900_at	2.94	2.92	4.14	4.92	4.8	3.01
1428354_at	7.42	7.78	8.82	9.36	9.35	7.45
1440811_x_at	2.83	2.69	4.15	4.49	4.66	2.61
1457975_at	3.7	3.69	4.79	5.53	5.61	3.66
1435286_at	2.29	2.54	3.65	4.08	3.96	2.42
1419425_at	4.34	4.43	5.49	6.2	6.11	4.2
1416030_a_at	10.65	10.64	11.87	12.46	12.42	10.63
1443216_at	2.76	2.77	4.08	4.54	4.53	2.84
1452866_at	9.05	9.03	10.24	10.86	10.92	9.03
1449903_at	8.04	8.32	9.88	9.93	9.69	7.8
1459003_at	2.62	2.64	3.96	4.4	4.49	2.49
1459643_at	2.88	2.91	3.78	4.68	4.61	2.7
1459527_at	2.99	3.2	4.14	4.71	4.77	2.93
1423043_s_at	10.69	10.81	12.13	12.64	12.61	10.86
1448400_a_at	9.17	9.27	10.48	11.12	11.13	9.31
1453944_at	2.72	2.74	3.96	4.38	4.4	2.6
1448807_at	3.42	3.48	4.45	5.17	5.17	3.33
1424313_a_at	9.75	9.82	10.98	11.26	11.06	9.46
1450466_at	3.88	3.65	4.98	5.37	5.38	3.63
1432781_at	4.44	4.61	5.57	6.42	6.27	4.33
1422109_at	4.39	4.28	5.74	6	6.06	4.27
1441339_at	3.86	3.04	4.86	5.1	5.11	3.28
1452658_at	6.82	6.82	7.95	8.72	8.47	6.85
1432574_at	5.36	5.36	6.72	7.06	7.05	5.29
1434701_at	8.43	8.67	9.91	10.02	9.75	8.48
1453887_a_at	3.39	3.28	4.42	5.13	4.99	3.26
1435962_at	3.61	3.54	4.49	5.48	5.44	3.53
1429351_at	4.65	4.18	5.77	6.53	6.75	4.66
1460684_at	6.33	6.34	7.32	7.96	7.97	6.04
1417907_at	8.11	8.24	9.31	10.08	9.92	8.08
1456303_at	3.29	3.34	4.44	5.12	4.79	3.43
1456915_at	2.57	2.61	3.89	4.37	4.47	2.77
1447698_x_at	2.11	2.2	3.41	3.78	3.79	2.05
1442891_at	2.22	2.37	3.38	3.78	3.88	2.18
1449848_at	2.88	2.75	3.89	4.6	4.5	3.05
1424874_a_at	10.9	11.09	12.41	12.74	12.81	10.92
1436580_at	3.36	3.34	4.74	5.05	4.95	3.28
1452375_at	5.85	5.92	6.98	7.68	7.61	5.86
1430666_at	3.08	3.1	4.15	5.07	4.92	3.12
1441904_x_at	5	5.19	6.29	6.86	6.71	5.1
1436412_at	3.54	3.54	4.77	5.52	5.22	3.41
1426334_a_at	4.76	4.65	6.53	6.4	6.34	4.84
1434172_at	2.09	2.21	3.54	3.98	4.08	2.39
1442395_at	3.1	2.79	4.05	4.77	4.5	2.87
1454375_at	2.63	2.54	3.97	4.49	4.35	2.65
1420767_at	4.55	4.54	5.51	6.3	6.33	4.4
1456510_x_at	4.18	4.23	5.3	5.94	5.87	4.17
1453722_s_at	10.73	10.85	12.03	12.59	12.54	10.74
1423072_at	3.48	3.81	4.33	4.73	4.94	3.14
1445577_at	3.86	3.88	5.05	5.57	5.52	3.71
1438420_at	8.77	8.53	9.89	10.45	10.47	8.65
1421602_at	3.89	3.68	5.22	5.62	5.91	3.97
1431901_a_at	2.68	2.98	3.96	4.57	4.42	2.7
1454887_at	8.32	8.42	9.66	10.05	10.04	8.33
